File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-b4bafb.o,89.459160%,38259,13249,37978,148,133,13116
mf_w.l,4.283677%,1832,0,1832,0,0,0
startup_at32f415.o,0.944654%,404,2048,36,368,0,2048
dadd.o,0.780976%,334,0,334,0,0,0
dmul.o,0.533121%,228,0,228,0,0,0
ddiv.o,0.519092%,222,0,222,0,0,0
mc_w.l,0.514415%,220,0,220,0,0,0
depilogue.o,0.434915%,186,0,186,0,0,0
fadd.o,0.411532%,176,0,176,0,0,0
fdiv.o,0.289943%,124,0,124,0,0,0
fepilogue.o,0.257208%,110,0,110,0,0,0
fmul.o,0.233825%,100,0,100,0,0,0
dfixi.o,0.144972%,62,0,62,0,0,0
dfixui.o,0.116913%,50,0,50,0,0,0
ffixui.o,0.093530%,40,0,40,0,0,0
memseta.o,0.084177%,36,0,36,0,0,0
llsshr.o,0.084177%,36,0,36,0,0,0
init.o,0.084177%,36,0,36,0,0,0
dflti.o,0.079501%,34,0,34,0,0,0
llushr.o,0.074824%,32,0,32,0,0,0
llshl.o,0.070148%,30,0,30,0,0,0
handlers.o,0.070148%,30,0,30,0,0,0
fcmplt.o,0.065471%,28,0,28,0,0,0
fcmple.o,0.065471%,28,0,28,0,0,0
fcmpgt.o,0.065471%,28,0,28,0,0,0
fcmpge.o,0.065471%,28,0,28,0,0,0
dfltui.o,0.060795%,26,0,26,0,0,0
fflti.o,0.042089%,18,0,18,0,0,0
ffltui.o,0.023383%,10,0,10,0,0,0
entry9a.o,0.018706%,8,0,8,0,0,0
entry2.o,0.018706%,8,0,8,0,0,0
entry5.o,0.009353%,4,0,4,0,0,0
