File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-2895bf.o,92.438660%,56627,13112,56382,106,139,12973
mf_w.l,3.072202%,1882,0,1882,0,0,0
startup_at32f415.o,0.659495%,404,1024,36,368,0,1024
dadd.o,0.545226%,334,0,334,0,0,0
mc_w.l,0.378720%,232,0,232,0,0,0
dmul.o,0.372190%,228,0,228,0,0,0
ddiv.o,0.362396%,222,0,222,0,0,0
depilogue.o,0.303629%,186,0,186,0,0,0
fadd.o,0.287305%,176,0,176,0,0,0
fdiv.o,0.202419%,124,0,124,0,0,0
fepilogue.o,0.179565%,110,0,110,0,0,0
fmul.o,0.163241%,100,0,100,0,0,0
dfixi.o,0.101210%,62,0,62,0,0,0
ffixi.o,0.081621%,50,0,50,0,0,0
dfixui.o,0.081621%,50,0,50,0,0,0
init.o,0.078356%,48,0,48,0,0,0
ffixui.o,0.065297%,40,0,40,0,0,0
memseta.o,0.058767%,36,0,36,0,0,0
llsshr.o,0.058767%,36,0,36,0,0,0
dflti.o,0.055502%,34,0,34,0,0,0
llushr.o,0.052237%,32,0,32,0,0,0
llshl.o,0.048972%,30,0,30,0,0,0
handlers.o,0.048972%,30,0,30,0,0,0
fcmplt.o,0.045708%,28,0,28,0,0,0
fcmple.o,0.045708%,28,0,28,0,0,0
fcmpgt.o,0.045708%,28,0,28,0,0,0
fcmpge.o,0.045708%,28,0,28,0,0,0
dfltui.o,0.042443%,26,0,26,0,0,0
fflti.o,0.029383%,18,0,18,0,0,0
ffltui.o,0.016324%,10,0,10,0,0,0
entry9a.o,0.013059%,8,0,8,0,0,0
entry2.o,0.013059%,8,0,8,0,0,0
entry5.o,0.006530%,4,0,4,0,0,0
